亜
哀
握
扱
依
威
為
尉
偉
違
維
慰
緯
壱
逸
芋
姻
陰
隠
韻
詠
影
鋭
疫
悦
越
謁
閲
炎
宴
援
煙
猿
鉛
縁
汚
凹
押
欧
殴
翁
奥
憶
虞
乙
卸
穏
佳
架
華
菓
渦
嫁
暇
禍
靴
寡
箇
稼
蚊
雅
餓
介
戒
怪
拐
悔
皆
塊
壊
懐
劾
涯
慨
該
概
垣
核
殻
郭
較
隔
獲
嚇
穫
岳
掛
括
喝
渇
滑
褐
轄
且
刈
甘
汗
缶
肝
冠
陥
乾
勘
患
貫
喚
堪
換
敢
棺
款
閑
勧
寛
歓
監
緩
憾
還
環
艦
鑑
含
頑
企
忌
奇
祈
軌
既
飢
鬼
幾
棋
棄
輝
騎
宜
偽
欺
儀
戯
擬
犠
菊
吉
喫
詰
却
脚
虐
及
丘
朽
糾
窮
巨
拒
拠
虚
距
御
凶
叫
狂
享
況
峡
挟
狭
恐
恭
脅
矯
響
驚
仰
暁
凝
斤
菌
琴
緊
謹
襟
吟
駆
愚
偶
遇
隅
屈
掘
繰
勲
薫
刑
茎
契
恵
啓
掲
渓
蛍
傾
携
継
慶
憩
鶏
迎
鯨
撃
傑
肩
倹
兼
剣
軒
圏
堅
嫌
献
遣
賢
謙
繭
顕
懸
幻
玄
弦
孤
弧
枯
雇
誇
鼓
顧
互
呉
娯
悟
碁
孔
巧
甲
江
坑
抗
攻
更
拘
肯
侯
恒
洪
荒
郊
貢
控
慌
硬
絞
項
溝
綱
酵
稿
衡
購
拷
剛
豪
克
酷
獄
込
昆
恨
婚
紺
魂
墾
懇
唆
詐
鎖
砕
宰
栽
彩
斎
債
催
歳
載
剤
削
索
酢
搾
錯
咲
撮
擦
桟
惨
傘
暫
旨
伺
刺
雌
賜
諮
侍
慈
璽
軸
疾
執
湿
漆
芝
赦
斜
煮
遮
邪
蛇
勺
酌
釈
爵
寂
朱
狩
殊
珠
趣
寿
需
儒
囚
舟
秀
臭
愁
酬
醜
襲
汁
充
柔
渋
銃
獣
叔
淑
粛
塾
俊
瞬
旬
巡
盾
准
殉
循
潤
遵
庶
緒
如
叙
徐
升
召
匠
床
抄
肖
尚
昇
沼
宵
症
祥
称
渉
紹
訟
掌
晶
焦
硝
粧
詔
奨
詳
彰
衝
償
礁
鐘
丈
冗
浄
剰
畳
壌
嬢
錠
譲
醸
殖
飾
触
嘱
辱
伸
辛
侵
津
唇
娠
振
浸
紳
診
寝
慎
審
震
薪
刃
尽
迅
甚
陣
尋
吹
炊
帥
粋
衰
酔
遂
睡
穂
錘
随
髄
枢
崇
据
杉
畝
瀬
是
姓
征
斉
牲
逝
婿
誓
請
斥
析
隻
惜
跡
籍
拙
窃
摂
仙
占
扇
栓
旋
践
銑
潜
遷
薦
繊
鮮
禅
漸
繕
阻
租
措
粗
疎
訴
塑
礎
双
壮
荘
捜
挿
桑
掃
曹
喪
葬
僧
遭
槽
燥
霜
騒
藻
憎
贈
即
促
俗
賊
妥
堕
惰
駄
耐
怠
胎
泰
袋
逮
替
滞
滝
択
沢
卓
拓
託
濯
諾
濁
但
脱
奪
棚
丹
胆
淡
嘆
端
鍛
弾
壇
恥
致
遅
痴
稚
畜
逐
蓄
秩
窒
嫡
抽
衷
鋳
駐
弔
挑
彫
眺
釣
脹
超
跳
徴
澄
聴
懲
勅
沈
珍
朕
陳
鎮
墜
塚
漬
坪
呈
廷
抵
邸
亭
貞
帝
訂
逓
偵
堤
艇
締
泥
摘
滴
迭
哲
徹
撤
添
殿
斗
吐
途
渡
塗
奴
怒
到
逃
倒
凍
唐
桃
透
悼
盗
陶
塔
搭
棟
痘
筒
稲
踏
謄
闘
騰
洞
胴
峠
匿
督
篤
凸
突
屯
豚
鈍
曇
軟
尼
弐
尿
妊
忍
寧
粘
悩
濃
把
覇
婆
杯
排
廃
輩
培
陪
媒
賠
伯
拍
泊
迫
舶
薄
漠
縛
爆
肌
鉢
髪
伐
抜
罰
閥
帆
伴
畔
般
販
搬
煩
頒
範
繁
藩
蛮
盤
妃
彼
披
卑
疲
被
扉
碑
罷
避
尾
微
匹
泌
姫
漂
苗
描
猫
浜
賓
頻
敏
瓶
扶
怖
附
赴
浮
符
普
腐
敷
膚
賦
譜
侮
舞
封
伏
幅
覆
払
沸
紛
雰
噴
墳
憤
丙
併
柄
塀
幣
弊
壁
癖
偏
遍
捕
浦
舗
募
慕
簿
芳
邦
奉
抱
泡
胞
俸
倣
峰
砲
崩
飽
褒
縫
乏
忙
坊
妨
房
肪
某
冒
剖
紡
傍
帽
膨
謀
朴
僕
墨
撲
没
堀
奔
翻
凡
盆
麻
摩
磨
魔
埋
膜
又
抹
慢
漫
魅
岬
妙
眠
矛
霧
娘
銘
滅
免
茂
妄
盲
耗
猛
網
黙
紋
匁
厄
躍
愉
諭
癒
唯
幽
悠
猶
裕
雄
誘
憂
融
与
誉
庸
揚
揺
溶
腰
踊
窯
擁
謡
抑
翼
裸
羅
雷
頼
絡
酪
濫
欄
吏
痢
履
離
柳
竜
粒
隆
硫
虜
慮
了
涼
猟
陵
僚
寮
療
糧
厘
倫
隣
涙
累
塁
励
戻
鈴
零
霊
隷
齢
麗
暦
劣
烈
裂
恋
廉
錬
炉
露
郎
浪
廊
楼
漏
賄
惑
枠
湾
腕
